country,female,age,educ,racialid,wealth,trustcourt1,trustcourt_nr,trustcourt_std,trustcongress1,trustcongress_nr,trustcongress_std,trustparties1,trustparties_nr,trustparties_std,trustgovt1,trustgovt_nr,trustgovt_std,trustpolice1,trustelections1,trustelections_nr,trustelections_std,demsat1,demsat_nr,demsat1_std,dembest1,dembest_nr,dembest1_std,demval_nr,demval3,demval3_std,ideo,victim1,lifesatisf,corrupt1,corrupt2,religion,presapproval,presapproval_std,presapproval_nr,region,partisan,partyid,poltalk,edate,runvar,treat_full,treat_10,treat_5,placebo,corruption_salience,scandal_salience,racialid1,racialid2,racialid3,racialid4,racialid5,racialid6,wealth1,wealth2,wealth3,wealth4,wealth5,ideo1,ideo2,ideo3,ideo4,partyid1,partyid2,partyid3,partyid4,partyid5,partyid6,region1,region2,region3,region4,region5,religion1,religion2,religion3,educ1,educ2,educ3,educ4
1,0,44,2,1,3,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0.330000013113022,0,0.223204150795937,0.670000016689301,0,0.928108692169189,0.330000013113022,0.330000013113022,0,-0.370462089776993,0.670000016689301,0,0.766124188899994,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,4,0,3,0,4,1,1,0.993070662021637,0,,,,0,2015-02-06,1,1,1,1,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,1,0,0,0,1,0,0
1,1,33,3,1,3,0,0,-1.1389776468277,0,0,-1.0889892578125,0,0,-0.949255585670471,0,0,-1.14168047904968,0,0,0,-1.37661039829254,0.670000016689301,0,0.766124188899994,0.670000016689301,0,0.0481468178331852,0,0,-1.28597211837769,3,1,3,0,3,1,0,-1.00692403316498,0,,,,0,2015-02-06,1,1,1,1,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,1,0,0,0,0,1,0
1,0,64,2,1,4,0.670000016689301,0,1.04063880443573,0.670000016689301,0,1.12730979919434,0,0,-0.949255585670471,0.670000016689301,0,0.928108692169189,1,0.670000016689301,0,0.666175484657288,1,0,1.85081207752228,1,0,1.31931531429291,0,1,0.77758002281189,2,0,3,0,3,1,1,0.993070662021637,0,,,,0,2015-02-06,1,1,1,1,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,1,0,0,0,1,0,0
1,1,24,2,1,4,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0.330000013113022,0,0.223204150795937,0.330000013113022,0,-0.122232086956501,0.330000013113022,0.330000013113022,0,-0.370462089776993,0.670000016689301,0,0.766124188899994,1,0,1.31931531429291,0,1,0.77758002281189,2,1,4,0,2,1,1,0.993070662021637,0,,0,1,0,2015-02-06,1,1,1,1,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,,,,,,1,0,0,0,1,0,0
1,0,18,2,1,4,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0,0,-0.949255585670471,0.330000013113022,0,-0.122232086956501,0.670000016689301,0,0,-1.37661039829254,0.330000013113022,0,-0.351433157920837,0.330000013113022,0,-1.26154208183289,0,0,-1.28597211837769,2,0,3,0,3,2,0,-1.00692403316498,0,,,,0,2015-02-06,1,1,1,1,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,0,1,0,0,1,0,0
1,0,29,2,1,4,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0.330000013113022,0,0.223204150795937,0.330000013113022,0,-0.122232086956501,0,0.330000013113022,0,-0.370462089776993,0.670000016689301,0,0.766124188899994,0.670000016689301,0,0.0481468178331852,0,0,-1.28597211837769,2,1,3,0,3,1,1,0.993070662021637,0,,0,1,0,2015-02-06,1,1,1,1,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,,,,,,1,0,0,0,1,0,0
1,1,21,3,1,4,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0.330000013113022,0,0.223204150795937,0.330000013113022,0,-0.122232086956501,0.670000016689301,0.670000016689301,0,0.666175484657288,0.670000016689301,0,0.766124188899994,1,0,1.31931531429291,0,1,0.77758002281189,4,0,3,0,3,2,0,-1.00692403316498,0,,,,0,2015-01-27,-9,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,0,1,0,0,0,1,0
1,0,25,3,1,5,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0.670000016689301,0,1.43119287490845,1,0,1.94755709171295,0,,1,,0.670000016689301,0,0.766124188899994,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,2,0,3,0,3,1,1,0.993070662021637,0,,,,1,2015-01-27,-9,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,1,0,0,0,0,1,0
1,0,38,3,1,4,0,0,-1.1389776468277,0,0,-1.0889892578125,0.330000013113022,0,0.223204150795937,0,0,-1.14168047904968,0.330000013113022,0.330000013113022,0,-0.370462089776993,0.330000013113022,0,-0.351433157920837,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,4,1,3,0,3,1,0,-1.00692403316498,0,,,,1,2015-01-27,-9,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,1,0,0,0,0,1,0
1,1,68,2,1,3,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0,0,-0.949255585670471,0.330000013113022,0,-0.122232086956501,0.330000013113022,,1,,0.330000013113022,0,-0.351433157920837,,1,,1,,,3,1,2,0,3,1,0,-1.00692403316498,0,,0,1,0,2015-01-24,-12,0,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,1,0,0,0,1,0,0
1,1,31,3,1,4,0.330000013113022,0,-0.0654352158308029,0,0,-1.0889892578125,0,0,-0.949255585670471,0,0,-1.14168047904968,0,0,0,-1.37661039829254,0.330000013113022,0,-0.351433157920837,1,0,1.31931531429291,0,1,0.77758002281189,3,1,3,0,3,1,0,-1.00692403316498,0,,,,1,2015-01-27,-9,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,1,0,0,0,0,1,0
1,1,39,4,1,4,0,0,-1.1389776468277,0.670000016689301,0,1.12730979919434,0.330000013113022,0,0.223204150795937,0.670000016689301,0,0.928108692169189,0,,1,,0.670000016689301,0,0.766124188899994,1,0,1.31931531429291,0,1,0.77758002281189,2,0,3,0,1,4,1,0.993070662021637,0,,,,1,2015-01-27,-9,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,0,0,0,0,0,0,1
1,0,69,2,1,3,0.670000016689301,0,1.04063880443573,0.330000013113022,0,0.00262077758088708,0.330000013113022,0,0.223204150795937,0,0,-1.14168047904968,0.670000016689301,,1,,0,0,-1.43612122535706,,1,,0,0,-1.28597211837769,3,0,2,0,3,1,0,-1.00692403316498,0,,0,1,0,2015-01-24,-12,0,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,1,0,0,0,1,0,0
1,0,71,2,1,4,0,0,-1.1389776468277,0.670000016689301,0,1.12730979919434,0.670000016689301,0,1.43119287490845,1,0,1.94755709171295,0.330000013113022,1,0,1.67232358455658,0.670000016689301,0,0.766124188899994,1,0,1.31931531429291,0,1,0.77758002281189,2,0,3,0,1,4,1,0.993070662021637,0,,,,1,2015-01-27,-9,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,0,0,0,0,1,0,0
1,1,32,2,,5,0.670000016689301,0,1.04063880443573,0.670000016689301,0,1.12730979919434,0.670000016689301,0,1.43119287490845,0.670000016689301,0,0.928108692169189,0.330000013113022,0.670000016689301,0,0.666175484657288,0.330000013113022,0,-0.351433157920837,1,0,1.31931531429291,0,1,0.77758002281189,2,0,2,0,4,1,,,1,,0,1,0,2015-01-20,-16,0,,,0,0,0,,,,,,,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,,,,,,1,0,0,0,1,0,0
1,1,51,4,1,4,0.670000016689301,0,1.04063880443573,0.330000013113022,0,0.00262077758088708,0.330000013113022,0,0.223204150795937,1,0,1.94755709171295,1,1,0,1.67232358455658,1,0,1.85081207752228,1,0,1.31931531429291,0,1,0.77758002281189,2,0,4,,,1,1,0.993070662021637,0,,,,1,2015-01-20,-16,0,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,1,0,0,0,0,0,1
1,1,27,2,1,4,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0.330000013113022,0,0.223204150795937,0.330000013113022,0,-0.122232086956501,0.330000013113022,0.330000013113022,0,-0.370462089776993,0.670000016689301,0,0.766124188899994,1,0,1.31931531429291,0,1,0.77758002281189,1,0,4,0,4,1,0,-1.00692403316498,0,,0,1,0,2015-01-20,-16,0,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,,,,,1,0,0,0,1,0,0
1,0,44,3,1,3,0.330000013113022,0,-0.0654352158308029,0.670000016689301,0,1.12730979919434,0.670000016689301,0,1.43119287490845,0.670000016689301,0,0.928108692169189,0.330000013113022,,1,,0.670000016689301,0,0.766124188899994,1,0,1.31931531429291,0,1,0.77758002281189,1,0,3,0,3,1,0,-1.00692403316498,0,,0,1,0,2015-01-21,-15,0,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,1,0,0,0,0,1,0
1,0,27,3,1,,0,0,-1.1389776468277,0,0,-1.0889892578125,0,0,-0.949255585670471,0,0,-1.14168047904968,0,1,0,1.67232358455658,1,0,1.85081207752228,1,0,1.31931531429291,0,1,0.77758002281189,1,1,3,0,4,4,0,-1.00692403316498,0,,0,1,0,2015-01-21,-15,0,,,0,0,0,1,0,0,0,0,0,,,,,,1,0,0,0,1,0,0,0,0,0,,,,,,0,0,0,0,0,1,0
1,1,37,4,1,4,0,0,-1.1389776468277,0.670000016689301,0,1.12730979919434,0,0,-0.949255585670471,0.670000016689301,0,0.928108692169189,0.670000016689301,0.670000016689301,0,0.666175484657288,1,0,1.85081207752228,1,0,1.31931531429291,0,1,0.77758002281189,1,0,4,0,4,1,1,0.993070662021637,0,,0,1,0,2015-01-24,-12,0,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,,,,,1,0,0,0,0,0,1
1,0,57,2,1,3,0.330000013113022,0,-0.0654352158308029,0.670000016689301,0,1.12730979919434,0.670000016689301,0,1.43119287490845,0.670000016689301,0,0.928108692169189,0.330000013113022,0.670000016689301,0,0.666175484657288,0.670000016689301,0,0.766124188899994,1,0,1.31931531429291,0,1,0.77758002281189,2,0,3,,4,1,0,-1.00692403316498,0,,0,1,0,2015-01-24,-12,0,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,1,0,0,0,1,0,0
1,0,21,3,1,3,0.670000016689301,0,1.04063880443573,0.670000016689301,0,1.12730979919434,0.670000016689301,0,1.43119287490845,0.670000016689301,0,0.928108692169189,0.330000013113022,0.670000016689301,0,0.666175484657288,1,0,1.85081207752228,1,0,1.31931531429291,0,1,0.77758002281189,3,0,3,0,,2,1,0.993070662021637,0,,0,1,0,2015-01-26,-10,0,0,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,0,1,0,0,0,1,0
1,0,31,3,1,4,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0,0,-0.949255585670471,0.670000016689301,0,0.928108692169189,0.330000013113022,,1,,0.330000013113022,0,-0.351433157920837,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,2,1,4,0,3,1,0,-1.00692403316498,0,,,,1,2015-02-03,-2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,1,0,0,0,0,1,0
1,1,62,2,2,1,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0.330000013113022,0,0.223204150795937,0.330000013113022,0,-0.122232086956501,0.330000013113022,0.330000013113022,0,-0.370462089776993,0.670000016689301,0,0.766124188899994,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,3,1,2,0,3,1,1,0.993070662021637,0,,,,0,2015-02-03,-2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,1,0,0,0,1,0,0
1,0,45,3,2,4,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0.330000013113022,0,0.223204150795937,0.670000016689301,0,0.928108692169189,0.330000013113022,0.330000013113022,0,-0.370462089776993,0.330000013113022,0,-0.351433157920837,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,4,1,3,0,3,1,0,-1.00692403316498,0,,0,1,0,2015-02-03,-2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,,,,,1,0,0,0,0,1,0
1,1,47,2,1,1,0,0,-1.1389776468277,0.330000013113022,0,0.00262077758088708,0,0,-0.949255585670471,0.330000013113022,0,-0.122232086956501,0.330000013113022,0,0,-1.37661039829254,1,0,1.85081207752228,1,0,1.31931531429291,0,1,0.77758002281189,4,1,2,0,3,3,1,0.993070662021637,0,,,,0,2015-02-03,-2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,0,0,1,0,1,0,0
1,1,18,3,1,5,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0.670000016689301,0,1.43119287490845,0.330000013113022,0,-0.122232086956501,0.330000013113022,0.330000013113022,0,-0.370462089776993,0.330000013113022,0,-0.351433157920837,1,0,1.31931531429291,0,1,0.77758002281189,3,0,4,0,4,1,0,-1.00692403316498,0,,0,1,0,2015-02-03,-2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,,,,,1,0,0,0,0,1,0
1,1,32,3,2,5,0,0,-1.1389776468277,0.330000013113022,0,0.00262077758088708,0.670000016689301,0,1.43119287490845,0,0,-1.14168047904968,0.330000013113022,0.670000016689301,0,0.666175484657288,0.670000016689301,0,0.766124188899994,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,3,1,4,0,4,2,,,1,,0,1,0,2015-02-03,-2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,,,,,0,1,0,0,0,1,0
1,0,30,2,2,3,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0.670000016689301,0,1.43119287490845,0,0,-1.14168047904968,0.670000016689301,0.670000016689301,0,0.666175484657288,1,0,1.85081207752228,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,1,1,3,0,2,1,0,-1.00692403316498,0,,,,0,2015-02-09,4,1,1,1,,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,1,0,0,0,1,0,0
1,0,60,2,2,3,0.330000013113022,0,-0.0654352158308029,0.330000013113022,0,0.00262077758088708,0.330000013113022,0,0.223204150795937,0,0,-1.14168047904968,0,0.330000013113022,0,-0.370462089776993,0.670000016689301,0,0.766124188899994,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,3,1,3,0,4,1,0,-1.00692403316498,0,,0,1,0,2015-02-03,-2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,1,0,0,0,1,0,0
1,1,62,2,2,1,0,0,-1.1389776468277,0,0,-1.0889892578125,0,0,-0.949255585670471,0.670000016689301,0,0.928108692169189,0.670000016689301,,1,,0.670000016689301,0,0.766124188899994,1,0,1.31931531429291,0,1,0.77758002281189,4,1,3,1,1,1,1,0.993070662021637,0,,,,1,2015-02-06,1,1,1,1,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,0,0,0,1,0,0
1,1,22,3,1,5,1,0,2.11418104171753,1,0,2.21891975402832,0,0,-0.949255585670471,1,0,1.94755709171295,0.330000013113022,,1,,1,0,1.85081207752228,1,0,1.31931531429291,0,1,0.77758002281189,1,1,4,0,3,1,1,0.993070662021637,0,,0,1,0,2015-02-06,1,1,1,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,,,,,1,0,0,0,0,1,0
1,1,26,2,1,3,0,0,-1.1389776468277,0,0,-1.0889892578125,0,0,-0.949255585670471,0,0,-1.14168047904968,0,0,0,-1.37661039829254,0.330000013113022,0,-0.351433157920837,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,2,1,2,1,4,1,0,-1.00692403316498,0,,,,0,2015-02-06,1,1,1,1,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,1,0,0,0,1,0,0
1,0,29,2,2,4,0.670000016689301,0,1.04063880443573,0.670000016689301,0,1.12730979919434,0.670000016689301,0,1.43119287490845,0.670000016689301,0,0.928108692169189,0.670000016689301,0.330000013113022,0,-0.370462089776993,0.330000013113022,0,-0.351433157920837,0.670000016689301,0,0.0481468178331852,0,0,-1.28597211837769,1,1,4,0,,1,1,0.993070662021637,0,,,,0,2015-02-06,1,1,1,1,,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,1,0,0,0,1,0,0
1,1,38,2,1,,0,0,-1.1389776468277,0,0,-1.0889892578125,0,0,-0.949255585670471,0,0,-1.14168047904968,0,0,0,-1.37661039829254,0,0,-1.43612122535706,0,0,-2.53271079063416,0,1,0.77758002281189,1,1,4,0,3,4,0,-1.00692403316498,0,,0,1,1,2015-02-06,1,1,1,1,,1,0,1,0,0,0,0,0,,,,,,1,0,0,0,1,0,0,0,0,0,,,,,,0,0,0,0,1,0,0
1,0,38,2,2,5,0,0,-1.1389776468277,0,0,-1.0889892578125,1,0,2.6036524772644,1,0,1.94755709171295,0,1,0,1.67232358455658,0.670000016689301,0,0.766124188899994,1,0,1.31931531429291,0,1,0.77758002281189,4,1,4,1,3,1,1,0.993070662021637,0,,,,0,2015-02-06,1,1,1,1,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,1,0,0,0,1,0,0
1,1,45,2,1,3,0.670000016689301,0,1.04063880443573,0.330000013113022,0,0.00262077758088708,0.330000013113022,0,0.223204150795937,1,0,1.94755709171295,0.330000013113022,0.330000013113022,0,-0.370462089776993,1,0,1.85081207752228,1,0,1.31931531429291,0,1,0.77758002281189,3,1,4,0,3,1,1,0.993070662021637,0,,0,1,0,2015-02-06,1,1,1,1,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,1,0,0,0,1,0,0
1,0,48,2,1,3,0.330000013113022,0,-0.0654352158308029,0.670000016689301,0,1.12730979919434,1,0,2.6036524772644,1,0,1.94755709171295,0,1,0,1.67232358455658,1,0,1.85081207752228,1,0,1.31931531429291,0,1,0.77758002281189,2,0,4,1,2,1,1,0.993070662021637,0,,,,1,2015-02-06,1,1,1,1,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,1,0,0,0,1,0,0
1,0,38,2,1,4,0,0,-1.1389776468277,0,0,-1.0889892578125,0,0,-0.949255585670471,0,0,-1.14168047904968,1,,1,,0.670000016689301,0,0.766124188899994,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,2,0,3,0,4,1,0,-1.00692403316498,0,,,,1,2015-02-05,0,,,,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,1,0,0,0,1,0,0
1,0,34,3,1,5,0,0,-1.1389776468277,0.330000013113022,0,0.00262077758088708,0.330000013113022,0,0.223204150795937,0.330000013113022,0,-0.122232086956501,0,,1,,0.670000016689301,0,0.766124188899994,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,2,1,3,0,3,1,0,-1.00692403316498,0,,,,0,2015-02-05,0,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,1,0,0,0,0,1,0
1,0,48,3,1,5,0.330000013113022,0,-0.0654352158308029,0.670000016689301,0,1.12730979919434,0,0,-0.949255585670471,0.670000016689301,0,0.928108692169189,0.330000013113022,0.670000016689301,0,0.666175484657288,0.670000016689301,0,0.766124188899994,0.670000016689301,0,0.0481468178331852,0,1,0.77758002281189,2,1,3,0,3,1,1,0.993070662021637,0,,,,1,2015-02-06,1,1,1,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,1,0,0,0,0,1,0
1,1,34,3,1,4,0.670000016689301,0,1.04063880443573,0.670000016689301,0,1.12730979919434,0.330000013113022,0,0.223204150795937,0.330000013113022,0,-0.122232086956501,0.330000013113022,0.670000016689301,0,0.666175484657288,0.330000013113022,0,-0.351433157920837,1,0,1.31931531429291,0,1,0.77758002281189,4,1,3,0,2,1,0,-1.00692403316498,0,,,,1,2015-02-05,0,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,1,0,0,0,0,1,0
